room_id,room_number,type_id,floor_id,status
1,101,2,1,Occupied
2,102,2,1,Available
3,103,3,1,Occupied
4,104,2,1,Occupied
5,105,3,1,Available
6,106,2,1,Occupied
7,107,2,1,Occupied
8,108,2,1,Occupied
9,109,1,1,Occupied
10,110,1,1,Occupied
11,111,1,1,Occupied
12,112,1,1,Available
13,113,2,1,Occupied
14,114,2,1,Occupied
15,115,2,1,Occupied
16,201,3,2,Occupied
17,202,1,2,Occupied
18,203,1,2,Occupied
19,204,3,2,Occupied
20,205,3,2,Occupied
21,206,2,2,Available
22,207,2,2,Occupied
23,208,3,2,Available
24,209,2,2,Occupied
25,210,1,2,Occupied
26,211,1,2,Occupied
27,212,2,2,Occupied
28,213,3,2,Occupied
29,214,1,2,Occupied
30,215,1,2,Occupied
31,301,3,3,Occupied
32,302,3,3,Occupied
33,303,1,3,Available
34,304,2,3,Available
35,305,2,3,Occupied
36,306,1,3,Available
37,307,1,3,Occupied
38,308,2,3,Available
39,309,3,3,Occupied
40,310,1,3,Occupied
41,311,3,3,Occupied
42,312,3,3,Available
43,313,2,3,Occupied
44,314,3,3,Occupied
45,315,3,3,Occupied
46,401,2,4,Available
47,402,3,4,Occupied
48,403,2,4,Occupied
49,404,2,4,Occupied
50,405,1,4,Available
51,406,1,4,Available
52,407,1,4,Occupied
53,408,1,4,Occupied
54,409,3,4,Available
55,410,1,4,Available
56,411,2,4,Occupied
57,412,1,4,Available
58,413,2,4,Available
59,414,1,4,Available
60,415,3,4,Occupied
61,501,1,5,Occupied
62,502,2,5,Occupied
63,503,1,5,Available
64,504,2,5,Occupied
65,505,2,5,Occupied
66,506,1,5,Occupied
67,507,3,5,Occupied
68,508,2,5,Available
69,509,1,5,Occupied
70,510,1,5,Available
71,511,1,5,Occupied
72,512,2,5,Occupied
73,513,1,5,Occupied
74,514,3,5,Occupied
75,515,3,5,Available
